numberOfValidLeukemicCells;numberOfValidTCells;numberOfinteractions;pourcentageOfValidLeukemicCells;pourcentageOfValidTCells;pourcentageOfInteractions
0;11;0;0.0;3.618421052631579;0.0
1;12;1;0.3289473684210526;3.9473684210526314;0.3289473684210526
2;13;1;0.6578947368421052;4.276315789473684;0.3289473684210526
3;14;2;0.9868421052631579;4.605263157894736;0.6578947368421052
4;15;2;1.3157894736842104;4.934210526315789;0.6578947368421052
5;16;2;1.644736842105263;5.263157894736842;0.6578947368421052
6;17;3;1.9736842105263157;5.592105263157895;0.9868421052631579
7;18;3;2.302631578947368;5.921052631578947;0.9868421052631579
8;19;4;2.631578947368421;6.25;1.3157894736842104
9;20;4;2.9605263157894735;6.578947368421052;1.3157894736842104
10;21;4;3.289473684210526;6.907894736842106;1.3157894736842104
11;22;4;3.618421052631579;7.236842105263158;1.3157894736842104
12;23;4;3.9473684210526314;7.565789473684211;1.3157894736842104
13;24;4;4.276315789473684;7.894736842105263;1.3157894736842104
14;25;4;4.605263157894736;8.223684210526317;1.3157894736842104
15;26;4;4.934210526315789;8.552631578947368;1.3157894736842104
16;27;4;5.263157894736842;8.881578947368421;1.3157894736842104
17;28;4;5.592105263157895;9.210526315789473;1.3157894736842104
18;29;4;5.921052631578947;9.539473684210527;1.3157894736842104
19;30;5;6.25;9.868421052631579;1.644736842105263
20;31;6;6.578947368421052;10.197368421052632;1.9736842105263157
21;32;6;6.907894736842106;10.526315789473683;1.9736842105263157
22;33;6;7.236842105263158;10.855263157894738;1.9736842105263157
23;34;8;7.565789473684211;11.18421052631579;2.631578947368421
24;35;8;7.894736842105263;11.513157894736842;2.631578947368421
25;36;8;8.223684210526317;11.842105263157894;2.631578947368421
26;37;8;8.552631578947368;12.171052631578947;2.631578947368421
27;38;8;8.881578947368421;12.5;2.631578947368421
28;39;8;9.210526315789473;12.828947368421053;2.631578947368421
29;40;8;9.539473684210527;13.157894736842104;2.631578947368421
30;41;8;9.868421052631579;13.486842105263158;2.631578947368421
31;42;8;10.197368421052632;13.815789473684212;2.631578947368421
32;43;8;10.526315789473683;14.144736842105262;2.631578947368421
33;44;8;10.855263157894738;14.473684210526317;2.631578947368421
34;45;8;11.18421052631579;14.802631578947366;2.631578947368421
35;46;9;11.513157894736842;15.131578947368421;2.9605263157894735
36;47;9;11.842105263157894;15.460526315789474;2.9605263157894735
37;48;10;12.171052631578947;15.789473684210526;3.289473684210526
38;49;11;12.5;16.11842105263158;3.618421052631579
39;50;11;12.828947368421053;16.447368421052634;3.618421052631579
40;51;12;13.157894736842104;16.776315789473685;3.9473684210526314
41;52;12;13.486842105263158;17.105263157894736;3.9473684210526314
42;53;13;13.815789473684212;17.434210526315788;4.276315789473684
43;54;14;14.144736842105262;17.763157894736842;4.605263157894736
44;55;15;14.473684210526317;18.092105263157894;4.934210526315789
45;56;16;14.802631578947366;18.421052631578945;5.263157894736842
46;57;18;15.131578947368421;18.75;5.921052631578947
47;58;18;15.460526315789474;19.078947368421055;5.921052631578947
48;59;19;15.789473684210526;19.407894736842106;6.25
49;60;19;16.11842105263158;19.736842105263158;6.25
50;61;20;16.447368421052634;20.065789473684212;6.578947368421052
51;62;21;16.776315789473685;20.394736842105264;6.907894736842106
52;63;21;17.105263157894736;20.723684210526315;6.907894736842106
53;64;22;17.434210526315788;21.052631578947366;7.236842105263158
54;65;22;17.763157894736842;21.38157894736842;7.236842105263158
55;66;22;18.092105263157894;21.710526315789476;7.236842105263158
56;67;22;18.421052631578945;22.039473684210524;7.236842105263158
57;68;22;18.75;22.36842105263158;7.236842105263158
58;69;22;19.078947368421055;22.697368421052634;7.236842105263158
59;70;23;19.407894736842106;23.026315789473685;7.565789473684211
60;71;23;19.736842105263158;23.355263157894736;7.565789473684211
61;73;23;20.065789473684212;24.013157894736842;7.565789473684211
62;74;23;20.394736842105264;24.342105263157894;7.565789473684211
63;75;24;20.723684210526315;24.671052631578945;7.894736842105263
64;76;24;21.052631578947366;25.0;7.894736842105263
65;77;25;21.38157894736842;25.32894736842105;8.223684210526317
66;78;25;21.710526315789476;25.657894736842106;8.223684210526317
67;79;27;22.039473684210524;25.986842105263158;8.881578947368421
68;80;27;22.36842105263158;26.31578947368421;8.881578947368421
69;81;27;22.697368421052634;26.644736842105267;8.881578947368421
70;82;28;23.026315789473685;26.973684210526315;9.210526315789473
71;83;28;23.355263157894736;27.302631578947366;9.210526315789473
72;84;28;23.684210526315788;27.631578947368425;9.210526315789473
73;85;28;24.013157894736842;27.960526315789476;9.210526315789473
74;86;29;24.342105263157894;28.289473684210524;9.539473684210527
75;87;29;24.671052631578945;28.618421052631575;9.539473684210527
76;88;30;25.0;28.947368421052634;9.868421052631579
77;89;31;25.32894736842105;29.276315789473685;10.197368421052632
78;90;31;25.657894736842106;29.605263157894733;10.197368421052632
79;91;32;25.986842105263158;29.93421052631579;10.526315789473683
80;92;34;26.31578947368421;30.263157894736842;11.18421052631579
81;93;34;26.644736842105267;30.592105263157894;11.18421052631579
82;94;35;26.973684210526315;30.92105263157895;11.513157894736842
83;95;36;27.302631578947366;31.25;11.842105263157894
84;96;37;27.631578947368425;31.57894736842105;12.171052631578947
85;97;38;27.960526315789476;31.907894736842106;12.5
86;98;39;28.289473684210524;32.23684210526316;12.828947368421053
87;99;40;28.618421052631575;32.56578947368421;13.157894736842104
88;100;40;28.947368421052634;32.89473684210527;13.157894736842104
89;101;41;29.276315789473685;33.223684210526315;13.486842105263158
90;102;42;29.605263157894733;33.55263157894737;13.815789473684212
91;103;43;29.93421052631579;33.881578947368425;14.144736842105262
92;104;43;30.263157894736842;34.21052631578947;14.144736842105262
93;105;45;30.592105263157894;34.53947368421053;14.802631578947366
94;106;46;30.92105263157895;34.868421052631575;15.131578947368421
95;107;47;31.25;35.19736842105263;15.460526315789474
96;108;47;31.57894736842105;35.526315789473685;15.460526315789474
97;109;47;31.907894736842106;35.85526315789473;15.460526315789474
98;110;47;32.23684210526316;36.18421052631579;15.460526315789474
99;111;48;32.56578947368421;36.51315789473684;15.789473684210526
100;112;49;32.89473684210527;36.84210526315789;16.11842105263158
101;113;49;33.223684210526315;37.17105263157895;16.11842105263158
102;114;50;33.55263157894737;37.5;16.447368421052634
103;115;51;33.881578947368425;37.82894736842105;16.776315789473685
104;116;52;34.21052631578947;38.15789473684211;17.105263157894736
105;117;52;34.53947368421053;38.48684210526316;17.105263157894736
106;118;52;34.868421052631575;38.81578947368421;17.105263157894736
107;119;52;35.19736842105263;39.14473684210527;17.105263157894736
108;120;52;35.526315789473685;39.473684210526315;17.105263157894736
110;121;53;36.18421052631579;39.80263157894737;17.434210526315788
111;123;53;36.51315789473684;40.46052631578947;17.434210526315788
112;124;54;36.84210526315789;40.78947368421053;17.763157894736842
113;125;55;37.17105263157895;41.118421052631575;18.092105263157894
114;126;56;37.5;41.44736842105263;18.421052631578945
115;127;56;37.82894736842105;41.776315789473685;18.421052631578945
116;128;56;38.15789473684211;42.10526315789473;18.421052631578945
117;129;58;38.48684210526316;42.43421052631579;19.078947368421055
118;130;59;38.81578947368421;42.76315789473684;19.407894736842106
119;131;60;39.14473684210527;43.09210526315789;19.736842105263158
120;132;61;39.473684210526315;43.42105263157895;20.065789473684212
121;133;62;39.80263157894737;43.75;20.394736842105264
122;134;63;40.131578947368425;44.07894736842105;20.723684210526315
123;135;64;40.46052631578947;44.40789473684211;21.052631578947366
