( 163,  -73) ; ( 256,   10) ; ( 349,   93) ; ( 442,  176) ; ( 535,  259) ; ( 629,  342) ; ( 722,  425) ; ( 816,  508) ; ( 909,  591) ; (1051,  674) ; (1174,  594) ; (1269,  510) ; (1363,  427) ; (1457,  343) ; (1550,  259) ; (1644,  175) ; (1737,   91) ; (1831,    7) ; (1924,  -76) ; 
( 163,   31) ; ( 256,  114) ; ( 349,  197) ; ( 442,  280) ; ( 535,  363) ; ( 629,  446) ; ( 722,  530) ; ( 816,  613) ; ( 909,  696) ; (1050,  780) ; (1174,  699) ; (1268,  616) ; (1362,  532) ; (1456,  449) ; (1549,  365) ; (1643,  281) ; (1736,  197) ; (1830,  113) ; (1923,   30) ; 
( 161,  136) ; ( 254,  219) ; ( 347,  302) ; ( 441,  386) ; ( 534,  469) ; ( 628,  552) ; ( 722,  635) ; ( 815,  718) ; ( 908,  802) ; (1050,  885) ; (1174,  805) ; (1268,  722) ; (1362,  638) ; (1455,  555) ; (1549,  471) ; (1643,  387) ; (1736,  303) ; (1829,  219) ; (1923,  135) ; 
( 161,  242) ; ( 253,  325) ; ( 347,  408) ; ( 440,  491) ; ( 534,  574) ; ( 627,  658) ; ( 721,  741) ; ( 814,  825) ; ( 908,  908) ; (1050,  991) ; (1173,  911) ; (1267,  828) ; (1364,  745) ; (1455,  660) ; (1549,  577) ; (1643,  493) ; (1739,  410) ; (1833,  326) ; (1926,  242) ; 
( 160,  347) ; ( 252,  430) ; ( 346,  514) ; ( 440,  597) ; ( 534,  680) ; ( 627,  764) ; ( 721,  847) ; ( 814,  931) ; ( 908, 1014) ; (1050, 1097) ; (1173, 1017) ; (1271,  935) ; (1365,  851) ; (1458,  768) ; (1549,  683) ; (1646,  600) ; (1739,  516) ; (1833,  433) ; (1927,  349) ; 
( 160,  453) ; ( 252,  536) ; ( 346,  620) ; ( 439,  703) ; ( 533,  786) ; ( 627,  870) ; ( 720,  953) ; ( 814, 1037) ; ( 908, 1120) ; (1050, 1203) ; (1173, 1123) ; (1271, 1041) ; (1365,  957) ; (1458,  874) ; (1552,  790) ; (1646,  706) ; (1739,  623) ; (1833,  539) ; (1926,  455) ; 
( 159,  559) ; ( 252,  642) ; ( 345,  726) ; ( 439,  809) ; ( 533,  892) ; ( 627,  976) ; ( 720, 1059) ; ( 814, 1143) ; ( 908, 1226) ; (1050, 1310) ; (1173, 1229) ; (1267, 1147) ; (1365, 1064) ; (1458,  980) ; (1552,  896) ; (1646,  813) ; (1739,  729) ; (1833,  645) ; (1926,  562) ; 
( 159,  665) ; ( 252,  748) ; ( 345,  831) ; ( 439,  915) ; ( 533,  999) ; ( 627, 1082) ; ( 720, 1165) ; ( 814, 1249) ; ( 908, 1332) ; (1050, 1416) ; (1173, 1336) ; (1267, 1253) ; (1364, 1170) ; (1458, 1086) ; (1552, 1002) ; (1646,  919) ; (1739,  835) ; (1832,  752) ; (1925,  669) ; 
( 158,  771) ; ( 251,  854) ; ( 345,  938) ; ( 439, 1021) ; ( 533, 1105) ; ( 627, 1188) ; ( 721, 1272) ; ( 814, 1355) ; ( 908, 1439) ; (1050, 1522) ; (1173, 1442) ; (1266, 1359) ; (1361, 1275) ; (1458, 1192) ; (1552, 1109) ; (1646, 1025) ; (1739,  941) ; (1833,  858) ; (1926,  775) ; 
( 159,  878) ; ( 251,  961) ; ( 345, 1044) ; ( 439, 1127) ; ( 533, 1211) ; ( 627, 1294) ; ( 721, 1378) ; ( 815, 1461) ; ( 909, 1545) ; (1050, 1629) ; (1173, 1548) ; (1266, 1465) ; (1360, 1382) ; (1453, 1299) ; (1546, 1216) ; (1639, 1133) ; (1732, 1050) ; (1833,  964) ; (1926,  880) ; 
